last seen position,churned_trial_users,churned_paid_users,active_paid_users
Supervised Learning::Which problems are regression?::353,,1,
Supervised Learning::Polynomial Regression::353,4,1,3
Supervised Learning::Entropy Calculation Part 4::354,,,
Supervised Learning::Sleep and grades regression::354,,3,7
Supervised Learning::Decision Trees Other Considerations ::354,,2,2
Supervised Learning::Difference between Classification and Regression::354,6,3,4
Supervised Learning::Decision Trees Other Considerations  Regression::355,1,,
Supervised Learning::Entropy Calculation Part 5::355,,,1
Supervised Learning::Classification or Regression::355,3,,1
Supervised Learning::Raging Party::355,,,
Supervised Learning::Numpy Polyfit::356,2,,
Supervised Learning::Classification Learning One::356,3,,3
Supervised Learning::Information Gain::356,,,1
Supervised Learning::Decision Trees Wrap up::356,1,3,2
Supervised Learning::Information Gain Calculation Part 1::357,1,,
Supervised Learning::Linearly Separable Data::357,2,2,4
Supervised Learning::Are Polynomials Linear?::357,1,,
Supervised Learning::Classification Learning Two::357,5,1,
Supervised Learning::Information Gain Calculation Part 2::358,,,
Supervised Learning::Polynomial Regression::358,4,1,3
Supervised Learning::Classification Learning Three::358,1,,1
Supervised Learning::Multiple Linear Questions::358,,1,1
Supervised Learning::Constructing a Decision Tree First Split::359,2,,1
Supervised Learning::Difference between Classification and Regression::359,6,3,4
Supervised Learning::Example 1: Dating::359,2,,2
Supervised Learning::Information Gain Calculation Part 3::359,,,
Supervised Learning::Classification or Regression::360,3,,1
Supervised Learning::Representation::360,1,1,2
Supervised Learning::Constructing a Decision Tree 2nd Split::360,,,
Supervised Learning::Information Gain Calculation Part 4::360,,,
Supervised Learning::Information Gain Calculation Part 5::361,,,1
Supervised Learning::Classification Learning One::361,3,,3
Supervised Learning::Representation Quiz::361,2,,
Supervised Learning::Class Labels After Second Split::361,,,1
Supervised Learning::Example 2: 20 Questions::362,,3,2
Supervised Learning::Information Gain Calculation Part 6::362,,,2
Supervised Learning::Constructing A Decision Tree/Third Split::362,1,,
Supervised Learning::Classification Learning Two::362,5,1,
Supervised Learning::Decision Trees Learning::363,,,3
Supervised Learning::Classification Learning Three::363,1,,1
Supervised Learning::Coding A Decision Tree::363,,2,7
Supervised Learning::Information Gain Calculation Part 7::363,,,
Supervised Learning::Example 1: Dating::364,2,,2
Supervised Learning::Information Gain Calculation Part 8::364,,,
Supervised Learning::Decision Tree Accuracy::364,,2,
Supervised Learning::Best Attribute Quiz::364,1,,1
Supervised Learning::Decision Trees Expressiveness AND::365,,1,1
Supervised Learning::Information Gain Calculation Part 9::365,,,1
Supervised Learning::Representation::365,1,1,2
Supervised Learning::Decision Tree Parameters::365,2,1,1
Supervised Learning::Representation Quiz::366,2,,
Supervised Learning::Min Samples Split::366,,,
Supervised Learning::Information Gain Calculation Part 10::366,,,
Supervised Learning::Decision Trees Expressiveness OR::366,,3,
Supervised Learning::Tuning Criterion Parameter::367,1,,2
Supervised Learning::Example 2: 20 Questions::367,,3,2
Supervised Learning::Decision Tree Accuracy::367,,1,
Supervised Learning::Decision Trees Expressiveness XOR::367,,,
Supervised Learning::Bias-Variance Dilemma::368,,,1
Supervised Learning::Decision Tree Expressiveness ::368,,,3
Supervised Learning::Data Impurity and Entropy::368,,1,1
Supervised Learning::Decision Trees Learning::368,,,3
Supervised Learning::Decision Tree Expressiveness Quiz::369,1,,1
Supervised Learning::DT Strengths and Weaknesses::369,,2,
Supervised Learning::Minimizing Impurity in Splitting::369,1,,1
Supervised Learning::Best Attribute Quiz::369,1,,1
Supervised Learning::Decision Trees Expressiveness AND::370,,1,1
Supervised Learning::Formula of Entropy::370,,1,1
Supervised Learning::Decision Tree Expressiveness Quiz 2::370,,1,1
Supervised Learning::Neural Networks::370,9,1,6
Supervised Learning::Entropy Calculation Part 1::371,,1,4
Supervised Learning::ID3::371,3,3,4
Supervised Learning::Artificial Neural Networks::371,1,3,2
Supervised Learning::Decision Trees Expressiveness OR::371,,3,
Supervised Learning::ID3 Bias::372,2,1,2
Supervised Learning::Entropy Calculation Part 2::372,,1,
Supervised Learning::How Powerful is a Perceptron Unit::372,2,2,4
Supervised Learning::Decision Trees Expressiveness XOR::372,,,
Supervised Learning::Entropy Calculation Part 3::373,,,
Supervised Learning::How Powerful is a Perceptron Unit Quiz::373,2,1,1
Supervised Learning::Decision Trees Continuous Attributes::373,3,,1
Supervised Learning::Decision Tree Expressiveness ::373,,,3
Supervised Learning::Entropy Calculation Part 4::374,,,
Supervised Learning::Decision Trees Other Considerations Quiz::374,2,,1
Supervised Learning::How Powerful is a Perceptron Unit OR Quiz::374,,,1
Supervised Learning::Decision Tree Expressiveness Quiz::374,1,,1
Supervised Learning::How Powerful is a Perceptron Unit NOT Quiz::375,1,1,2
Supervised Learning::Decision Trees Other Considerations ::375,,2,2
Supervised Learning::Entropy Calculation Part 5::375,,,1
Supervised Learning::Decision Tree Expressiveness Quiz 2::375,,1,1
Supervised Learning::ID3::376,3,3,4
Supervised Learning::Decision Trees Other Considerations  Regression::376,1,,
Supervised Learning::XOR as Perceptron Network::376,1,1,5
Supervised Learning::Information Gain::376,,,1
Supervised Learning::Information Gain Calculation Part 1::377,1,,
Supervised Learning::ID3 Bias::377,2,1,2
Supervised Learning::Perceptron Training::377,5,5,5
Supervised Learning::Decision Trees Wrap up::377,1,3,2
Supervised Learning::Decision Trees Continuous Attributes::378,3,,1
Supervised Learning::Gradient Descent::378,5,1,6
Supervised Learning::Information Gain Calculation Part 2::378,,,
Supervised Learning::Linearly Separable Data::378,2,2,4
Supervised Learning::Information Gain Calculation Part 3::379,,,
Supervised Learning::Decision Trees Other Considerations Quiz::379,2,,1
Supervised Learning::Multiple Linear Questions::379,,1,1
Supervised Learning::Comparison of Learning Rules::379,1,,2
Supervised Learning::Comparison of Learning Rules Quiz::380,1,,1
Supervised Learning::Constructing a Decision Tree First Split::380,2,,1
Supervised Learning::Decision Trees Other Considerations ::380,,2,2
Supervised Learning::Information Gain Calculation Part 4::380,,,
Supervised Learning::Decision Trees Other Considerations  Regression::381,1,,
Supervised Learning::Constructing a Decision Tree 2nd Split::381,,,
Supervised Learning::Sigmoid::381,,2,
Supervised Learning::Information Gain Calculation Part 5::381,,,1
Supervised Learning::Information Gain Calculation Part 6::382,,,2
Supervised Learning::Neural Network Sketch::382,2,,3
Supervised Learning::Class Labels After Second Split::382,,,1
Supervised Learning::Decision Trees Wrap up::382,1,3,2
Supervised Learning::Information Gain Calculation Part 7::383,,,
Supervised Learning::Linearly Separable Data::383,2,2,4
Supervised Learning::Constructing A Decision Tree/Third Split::383,1,,
Supervised Learning::Optimizing Weights::383,2,,
Supervised Learning::Multiple Linear Questions::384,,1,1
Supervised Learning::Coding A Decision Tree::384,,2,7
Supervised Learning::Restriction Bias::384,,,3
Supervised Learning::Information Gain Calculation Part 8::384,,,
Supervised Learning::Information Gain Calculation Part 9::385,,,1
Supervised Learning::Constructing a Decision Tree First Split::385,2,,1
Supervised Learning::Decision Tree Accuracy::385,,2,
Supervised Learning::Preference Bias::385,,1,2
Supervised Learning::Summary::386,1,,5
Supervised Learning::Decision Tree Parameters::386,2,1,1
Supervised Learning::Information Gain Calculation Part 10::386,,,
Supervised Learning::Constructing a Decision Tree 2nd Split::386,,,
Supervised Learning::Tuning Criterion Parameter::387,1,,2
Supervised Learning::Min Samples Split::387,,,
Supervised Learning::Class Labels After Second Split::387,,,1
Supervised Learning::Build a Perceptron::387,3,4,11
Supervised Learning::Constructing A Decision Tree/Third Split::388,1,,
Supervised Learning::Decision Tree Accuracy::388,,1,
Supervised Learning::Threshold Meditation::388,,,
Supervised Learning::Bias-Variance Dilemma::388,,,1
Supervised Learning::DT Strengths and Weaknesses::389,,2,
Supervised Learning::Data Impurity and Entropy::389,,1,1
Supervised Learning::Where to train Perceptrons::389,,,1
Supervised Learning::Coding A Decision Tree::389,,2,7
Supervised Learning::Neural Networks::390,9,1,6
Supervised Learning::Decision Tree Accuracy::390,,2,
Supervised Learning::Perceptron Inputs::390,,,1
Supervised Learning::Minimizing Impurity in Splitting::390,1,,1
Supervised Learning::Decision Tree Parameters::391,2,1,1
Supervised Learning::Formula of Entropy::391,,1,1
Supervised Learning::Artificial Neural Networks::391,1,3,2
Supervised Learning::Neural Net Outputs::391,,1,
Supervised Learning::Perceptron Update Rule::392,3,5,14
Supervised Learning::Entropy Calculation Part 1::392,,1,4
Supervised Learning::Min Samples Split::392,,,
Supervised Learning::How Powerful is a Perceptron Unit::392,2,2,4
Supervised Learning::Decision Tree Accuracy::393,,1,
Supervised Learning::Layered Network Example::393,,1,5
Supervised Learning::Entropy Calculation Part 2::393,,1,
Supervised Learning::How Powerful is a Perceptron Unit Quiz::393,2,1,1
Supervised Learning::Data Impurity and Entropy::394,,1,1
Supervised Learning::Entropy Calculation Part 3::394,,,
Supervised Learning::How Powerful is a Perceptron Unit OR Quiz::394,,,1
Supervised Learning::Linear Representational Power::394,,,4
Supervised Learning::Build the XOR Network::395,3,3,7
Supervised Learning::Entropy Calculation Part 4::395,,,
Supervised Learning::How Powerful is a Perceptron Unit NOT Quiz::395,1,1,2
Supervised Learning::Minimizing Impurity in Splitting::395,1,,1
Supervised Learning::Entropy Calculation Part 5::396,,,1
Supervised Learning::Formula of Entropy::396,,1,1
Supervised Learning::XOR as Perceptron Network::396,1,1,5
Supervised Learning::Discretion Quiz::396,,1,1
Supervised Learning::Continuity::397,,1,
Supervised Learning::Information Gain::397,,,1
Supervised Learning::Entropy Calculation Part 1::397,,1,4
Supervised Learning::Perceptron Training::397,5,5,5
Supervised Learning::Information Gain Calculation Part 1::398,1,,
Supervised Learning::Gradient Descent::398,5,1,6
Supervised Learning::Activation Function Sandbox::398,1,1,2
Supervised Learning::Entropy Calculation Part 2::398,,1,
Supervised Learning::Activation Function Quiz::399,,,
Supervised Learning::Comparison of Learning Rules::399,1,,2
Supervised Learning::Entropy Calculation Part 3::399,,,
Supervised Learning::Information Gain Calculation Part 2::399,,,
Supervised Learning::Entropy Calculation Part 4::400,,,
Supervised Learning::Comparison of Learning Rules Quiz::400,1,,1
Supervised Learning::Perceptron Vs Sigmoid::400,1,,
Supervised Learning::Information Gain Calculation Part 3::400,,,
Supervised Learning::Sigmoid::401,,2,
Supervised Learning::Information Gain Calculation Part 4::401,,,
Supervised Learning::Entropy Calculation Part 5::401,,,1
Supervised Learning::Sigmoid Learning::401,,1,1
Supervised Learning::Neural Network Sketch::402,2,,3
Supervised Learning::Information Gain::402,,,1
Supervised Learning::Information Gain Calculation Part 5::402,,,1
Supervised Learning::Gradient Descent Issues::402,,,
Supervised Learning::Sigmoid Programming Exercise::403,1,3,9
Supervised Learning::Optimizing Weights::403,2,,
Supervised Learning::Information Gain Calculation Part 1::403,1,,
Supervised Learning::Information Gain Calculation Part 6::403,,,2
Supervised Learning::Information Gain Calculation Part 7::404,,,
Supervised Learning::Restriction Bias::404,,,3
Supervised Learning::The Best Line::404,1,1,3
Supervised Learning::Information Gain Calculation Part 2::404,,,
Supervised Learning::Support Vector Machine::405,7,2,3
Supervised Learning::Information Gain Calculation Part 3::405,,,
Supervised Learning::Information Gain Calculation Part 8::405,,,
Supervised Learning::Preference Bias::405,,1,2
Supervised Learning::Distance Between Planes::406,6,4,
Supervised Learning::Information Gain Calculation Part 4::406,,,
Supervised Learning::Information Gain Calculation Part 9::406,,,1
Supervised Learning::Summary::406,1,,5
Supervised Learning::Information Gain Calculation Part 5::407,,,1
Supervised Learning::Still Support Vector Machines::407,2,1,1
Supervised Learning::Build a Perceptron::407,3,4,11
Supervised Learning::Information Gain Calculation Part 10::407,,,
Supervised Learning::Threshold Meditation::408,,,
Supervised Learning::Tuning Criterion Parameter::408,1,,2
Supervised Learning::Still More Support Vector Machines::408,1,1,2
Supervised Learning::Information Gain Calculation Part 6::408,,,2
Supervised Learning::Bias-Variance Dilemma::409,,,1
Supervised Learning::Where to train Perceptrons::409,,,1
Supervised Learning::Information Gain Calculation Part 7::409,,,
Supervised Learning::Optimal Separator::409,,,1
Supervised Learning::Information Gain Calculation Part 8::410,,,
Supervised Learning::Perceptron Inputs::410,,,1
Supervised Learning::DT Strengths and Weaknesses::410,,2,
Supervised Learning::Linearly Married::410,,,
Supervised Learning::Neural Net Outputs::411,,1,
Supervised Learning::Neural Networks::411,9,1,6
Supervised Learning::Information Gain Calculation Part 9::411,,,1
Supervised Learning::What is the Output::411,,1,1
Supervised Learning::Information Gain Calculation Part 10::412,,,
Supervised Learning::Perceptron Update Rule::412,3,5,14
Supervised Learning::Artificial Neural Networks::412,1,3,2
Supervised Learning::Kernel::412,2,1,4
Supervised Learning::Layered Network Example::413,,1,5
Supervised Learning::Tuning Criterion Parameter::413,1,,2
Supervised Learning::Summary::413,,,
Supervised Learning::How Powerful is a Perceptron Unit::413,2,2,4
Supervised Learning::How Powerful is a Perceptron Unit Quiz::414,2,1,1
Supervised Learning::Summary For Real::414,,,4
Supervised Learning::Bias-Variance Dilemma::414,,,1
Supervised Learning::Linear Representational Power::414,,,4
Supervised Learning::DT Strengths and Weaknesses::415,,2,
Supervised Learning::How Powerful is a Perceptron Unit OR Quiz::415,,,1
Supervised Learning::Build the XOR Network::415,3,3,7
Supervised Learning::Welcome to SVM::415,1,,3
Supervised Learning::How Powerful is a Perceptron Unit NOT Quiz::416,1,1,2
Supervised Learning::Neural Networks::416,9,1,6
Supervised Learning::Discretion Quiz::416,,1,1
Supervised Learning::Separating Line::416,3,2,2
Supervised Learning::Artificial Neural Networks::417,1,3,2
Supervised Learning::XOR as Perceptron Network::417,1,1,5
Supervised Learning::Continuity::417,,1,
Supervised Learning::Choosing Between Separating Lines::417,,,
Supervised Learning::Activation Function Sandbox::418,1,1,2
Supervised Learning::Perceptron Training::418,5,5,5
Supervised Learning::What Makes A Good Separating Line::418,,,
Supervised Learning::How Powerful is a Perceptron Unit::418,2,2,4
Supervised Learning::How Powerful is a Perceptron Unit Quiz::419,2,1,1
Supervised Learning::Gradient Descent::419,5,1,6
Supervised Learning::Activation Function Quiz::419,,,
Supervised Learning::Practice with Margins::419,,,
Supervised Learning::Comparison of Learning Rules::420,1,,2
Supervised Learning::Perceptron Vs Sigmoid::420,1,,
Supervised Learning::SVMs and Tricky Data Distributions::420,,1,2
Supervised Learning::How Powerful is a Perceptron Unit OR Quiz::420,,,1
Supervised Learning::How Powerful is a Perceptron Unit NOT Quiz::421,1,1,2
Supervised Learning::SVM Response to Outliers::421,,,1
Supervised Learning::Sigmoid Learning::421,,1,1
Supervised Learning::Comparison of Learning Rules Quiz::421,1,,1
Supervised Learning::Sigmoid::422,,2,
Supervised Learning::XOR as Perceptron Network::422,1,1,5
Supervised Learning::Gradient Descent Issues::422,,,
Supervised Learning::SVM Outlier Practice::422,,,
Supervised Learning::Sigmoid Programming Exercise::423,1,3,9
Supervised Learning::Perceptron Training::423,5,5,5
Supervised Learning::Handoff to Katie::423,,,
Supervised Learning::Neural Network Sketch::423,2,,3
Supervised Learning::Gradient Descent::424,5,1,6
Supervised Learning::The Best Line::424,1,1,3
Supervised Learning::Optimizing Weights::424,2,,
Supervised Learning::SVM in SKlearn::424,,1,3
Supervised Learning::Support Vector Machine::425,7,2,3
Supervised Learning::SVM Decision Boundary::425,1,,
Supervised Learning::Comparison of Learning Rules::425,1,,2
Supervised Learning::Restriction Bias::425,,,3
Supervised Learning::Comparison of Learning Rules Quiz::426,1,,1
Supervised Learning::Distance Between Planes::426,6,4,
Supervised Learning::Preference Bias::426,,1,2
Supervised Learning::Coding Up the SVM::426,1,1,1
Supervised Learning::Summary::427,1,,5
Supervised Learning::Nonlinear SVMs::427,,,
Supervised Learning::Sigmoid::427,,2,
Supervised Learning::Still Support Vector Machines::427,2,1,1
Supervised Learning::Still More Support Vector Machines::428,1,1,2
Supervised Learning::Nonlinear Data::428,,,
Supervised Learning::Neural Network Sketch::428,2,,3
Supervised Learning::Build a Perceptron::428,3,4,11
Supervised Learning::A New Feature::429,,,
Supervised Learning::Optimizing Weights::429,2,,
Supervised Learning::Threshold Meditation::429,,,
Supervised Learning::Optimal Separator::429,,,1
Supervised Learning::Where to train Perceptrons::430,,,1
Supervised Learning::Restriction Bias::430,,,3
Supervised Learning::Visualizing the New Feature::430,1,,1
Supervised Learning::Linearly Married::430,,,
Supervised Learning::Separating with the New Feature::431,,,
Supervised Learning::Perceptron Inputs::431,,,1
Supervised Learning::What is the Output::431,,1,1
Supervised Learning::Preference Bias::431,,1,2
Supervised Learning::Practice Making a New Feature::432,,,
Supervised Learning::Kernel::432,2,1,4
Supervised Learning::Summary::432,1,,5
Supervised Learning::Neural Net Outputs::432,,1,
Supervised Learning::Summary::433,,,
Supervised Learning::Kernel Trick::433,,,1
Supervised Learning::Perceptron Update Rule::433,3,5,14
Supervised Learning::Build a Perceptron::433,3,4,11
Supervised Learning::Playing Around with Kernel Choices::434,1,1,
Supervised Learning::Summary For Real::434,,,4
Supervised Learning::Layered Network Example::434,,1,5
Supervised Learning::Threshold Meditation::434,,,
Supervised Learning::Kernel and Gamma::435,1,,2
Supervised Learning::Welcome to SVM::435,1,,3
Supervised Learning::Linear Representational Power::435,,,4
Supervised Learning::Where to train Perceptrons::435,,,1
Supervised Learning::Perceptron Inputs::436,,,1
Supervised Learning::Build the XOR Network::436,3,3,7
Supervised Learning::Separating Line::436,3,2,2
Supervised Learning::SVM C Parameter::436,1,,
Supervised Learning::Overfitting::437,,,
Supervised Learning::Choosing Between Separating Lines::437,,,
Supervised Learning::Neural Net Outputs::437,,1,
Supervised Learning::Discretion Quiz::437,,1,1
Supervised Learning::What Makes A Good Separating Line::438,,,
Supervised Learning::Perceptron Update Rule::438,3,5,14
Supervised Learning::Continuity::438,,1,
Supervised Learning::SVM Strengths and Weaknesses::438,3,,2
Supervised Learning::Instance Based Learning Before::439,,3,3
Supervised Learning::Practice with Margins::439,,,
Supervised Learning::Activation Function Sandbox::439,1,1,2
Supervised Learning::Layered Network Example::439,,1,5
Supervised Learning::Activation Function Quiz::440,,,
Supervised Learning::Instance Based Learning Now::440,1,,
Supervised Learning::SVMs and Tricky Data Distributions::440,,1,2
Supervised Learning::Linear Representational Power::440,,,4
Supervised Learning::Cost of the House::441,1,,2
Supervised Learning::SVM Response to Outliers::441,,,1
Supervised Learning::Build the XOR Network::441,3,3,7
Supervised Learning::Perceptron Vs Sigmoid::441,1,,
Supervised Learning::Sigmoid Learning::442,,1,1
Supervised Learning::Cost of the House Two::442,,,2
Supervised Learning::Discretion Quiz::442,,1,1
Supervised Learning::SVM Outlier Practice::442,,,
Supervised Learning::K NN::443,,2,2
Supervised Learning::Gradient Descent Issues::443,,,
Supervised Learning::Continuity::443,,1,
Supervised Learning::Handoff to Katie::443,,,
Supervised Learning::Wont You Compute My Neighbors::444,,,1
Supervised Learning::Sigmoid Programming Exercise::444,1,3,9
Supervised Learning::SVM in SKlearn::444,,1,3
Supervised Learning::Activation Function Sandbox::444,1,1,2
Supervised Learning::SVM Decision Boundary::445,1,,
Supervised Learning::Domain K NNowledge::445,1,1,3
Supervised Learning::The Best Line::445,1,1,3
Supervised Learning::Activation Function Quiz::445,,,
Supervised Learning::Support Vector Machine::446,7,2,3
Supervised Learning::Perceptron Vs Sigmoid::446,1,,
Supervised Learning::Coding Up the SVM::446,1,1,1
Supervised Learning::K NN Bias::446,,,1
Supervised Learning::Sigmoid Learning::447,,1,1
Supervised Learning::Distance Between Planes::447,6,4,
Supervised Learning::Curse of Dimensionality::447,9,1,2
Supervised Learning::Nonlinear SVMs::447,,,
Supervised Learning::Gradient Descent Issues::448,,,
Supervised Learning::Curse of Dimensionality Two::448,4,1,4
Supervised Learning::Still Support Vector Machines::448,2,1,1
Supervised Learning::Nonlinear Data::448,,,
Supervised Learning::Sigmoid Programming Exercise::449,1,3,9
Supervised Learning::Some Other Stuff::449,,,
Supervised Learning::A New Feature::449,,,
Supervised Learning::Still More Support Vector Machines::449,1,1,2
Supervised Learning::What Have We Learned::450,2,2,3
Supervised Learning::The Best Line::450,1,1,3
Supervised Learning::Optimal Separator::450,,,1
Supervised Learning::Visualizing the New Feature::450,1,,1
Supervised Learning::Separating with the New Feature::451,,,
Supervised Learning::Speed Scatterplot: Grade and Bumpiness::451,2,1,6
Supervised Learning::Support Vector Machine::451,7,2,3
Supervised Learning::Linearly Married::451,,,
Supervised Learning::Practice Making a New Feature::452,,,
Supervised Learning::Speed Scatterplot 2::452,,,1
Supervised Learning::Distance Between Planes::452,6,4,
Supervised Learning::What is the Output::452,,1,1
Supervised Learning::Kernel::453,2,1,4
Supervised Learning::Speed Scatterplot 3::453,,,1
Supervised Learning::Kernel Trick::453,,,1
Supervised Learning::Still Support Vector Machines::453,2,1,1
Supervised Learning::From Scatterplots to Predictions::454,,,2
Supervised Learning::Summary::454,,,
Supervised Learning::Playing Around with Kernel Choices::454,1,1,
Supervised Learning::Still More Support Vector Machines::454,1,1,2
Supervised Learning::From Scatterplots to Predictions 2::455,,,
Supervised Learning::Kernel and Gamma::455,1,,2
Supervised Learning::Summary For Real::455,,,4
Supervised Learning::Optimal Separator::455,,,1
Supervised Learning::SVM C Parameter::456,1,,
Supervised Learning::Welcome to SVM::456,1,,3
Supervised Learning::From Scatterplots to Decision Surfaces::456,1,,
Supervised Learning::Linearly Married::456,,,
Supervised Learning::Separating Line::457,3,2,2
Supervised Learning::Overfitting::457,,,
Supervised Learning::A Good Linear Decision Surface::457,,,
Supervised Learning::What is the Output::457,,1,1
Supervised Learning::Kernel::458,2,1,4
Supervised Learning::Transition to Using Naive Bayes::458,,,
Supervised Learning::SVM Strengths and Weaknesses::458,3,,2
Supervised Learning::Choosing Between Separating Lines::458,,,
Supervised Learning::What Makes A Good Separating Line::459,,,
Supervised Learning::NB Decision Boundary in Python::459,,,
Supervised Learning::Summary::459,,,
Supervised Learning::Instance Based Learning Before::459,,3,3
Supervised Learning::Instance Based Learning Now::460,1,,
Supervised Learning::Summary For Real::460,,,4
Supervised Learning::Practice with Margins::460,,,
Supervised Learning::Getting Started With sklearn::460,3,1,2
Supervised Learning::SVMs and Tricky Data Distributions::461,,1,2
Supervised Learning::Gaussian NB Example::461,5,2,3
Supervised Learning::Cost of the House::461,1,,2
Supervised Learning::Welcome to SVM::461,1,,3
Supervised Learning::SVM Response to Outliers::462,,,1
Supervised Learning::Separating Line::462,3,2,2
Supervised Learning::GaussianNB Deployment on Terrain Data::462,4,4,14
Supervised Learning::Cost of the House Two::462,,,2
Supervised Learning::K NN::463,,2,2
Supervised Learning::Calculating NB Accuracy::463,,,2
Supervised Learning::Choosing Between Separating Lines::463,,,
Supervised Learning::SVM Outlier Practice::463,,,
Supervised Learning::Wont You Compute My Neighbors::464,,,1
Supervised Learning::What Makes A Good Separating Line::464,,,
Supervised Learning::Handoff to Katie::464,,,
Supervised Learning::Training and Testing Data::464,,2,
Supervised Learning::SVM in SKlearn::465,,1,3
Supervised Learning::Unpacking NB Using Bayes Rule::465,,,
Supervised Learning::Practice with Margins::465,,,
Supervised Learning::Domain K NNowledge::465,1,1,3
Supervised Learning::SVMs and Tricky Data Distributions::466,,1,2
Supervised Learning::K NN Bias::466,,,1
Supervised Learning::SVM Decision Boundary::466,1,,
Supervised Learning::Bayes Rule::466,,,
Supervised Learning::Curse of Dimensionality::467,9,1,2
Supervised Learning::Cancer Test::467,2,1,
Supervised Learning::Coding Up the SVM::467,1,1,1
Supervised Learning::SVM Response to Outliers::467,,,1
Supervised Learning::Prior and Posterior::468,2,,
Supervised Learning::Curse of Dimensionality Two::468,4,1,4
Supervised Learning::Nonlinear SVMs::468,,,
Supervised Learning::SVM Outlier Practice::468,,,
Supervised Learning::Normalizing 1::469,,,1
Supervised Learning::Some Other Stuff::469,,,
Supervised Learning::Handoff to Katie::469,,,
Supervised Learning::Nonlinear Data::469,,,
Supervised Learning::A New Feature::470,,,
Supervised Learning::SVM in SKlearn::470,,1,3
Supervised Learning::What Have We Learned::470,2,2,3
Supervised Learning::Normalizing 2::470,,,
Supervised Learning::SVM Decision Boundary::471,1,,
Supervised Learning::Speed Scatterplot: Grade and Bumpiness::471,2,1,6
Supervised Learning::Visualizing the New Feature::471,1,,1
Supervised Learning::Normalizing 3::471,,,
Supervised Learning::Total Probability::472,,,
Supervised Learning::Speed Scatterplot 2::472,,,1
Supervised Learning::Coding Up the SVM::472,1,1,1
Supervised Learning::Separating with the New Feature::472,,,
Supervised Learning::Practice Making a New Feature::473,,,
Supervised Learning::Speed Scatterplot 3::473,,,1
Supervised Learning::Bayes Rule Diagram::473,,,1
Supervised Learning::Nonlinear SVMs::473,,,
Supervised Learning::From Scatterplots to Predictions::474,,,2
Supervised Learning::Kernel Trick::474,,,1
Supervised Learning::Bayes Rule for Classification::474,,,1
Supervised Learning::Nonlinear Data::474,,,
Supervised Learning::Playing Around with Kernel Choices::475,1,1,
Supervised Learning::A New Feature::475,,,
Supervised Learning::Chris or Sara::475,,1,
Supervised Learning::From Scatterplots to Predictions 2::475,,,
Supervised Learning::From Scatterplots to Decision Surfaces::476,1,,
Supervised Learning::Posterior Probabilities::476,,,2
Supervised Learning::Kernel and Gamma::476,1,,2
Supervised Learning::Visualizing the New Feature::476,1,,1
Supervised Learning::Bayesian Probabilities On Your Own::477,,1,
Supervised Learning::Separating with the New Feature::477,,,
Supervised Learning::SVM C Parameter::477,1,,
Supervised Learning::A Good Linear Decision Surface::477,,,
Supervised Learning::Overfitting::478,,,
Supervised Learning::Practice Making a New Feature::478,,,
Supervised Learning::Transition to Using Naive Bayes::478,,,
Supervised Learning::Why Is Naive Bayes Naive::478,,,3
Supervised Learning::Kernel Trick::479,,,1
Supervised Learning::Intro::479,2,2,5
Supervised Learning::NB Decision Boundary in Python::479,,,
Supervised Learning::SVM Strengths and Weaknesses::479,3,,2
Supervised Learning::Getting Started With sklearn::480,3,1,2
Supervised Learning::Playing Around with Kernel Choices::480,1,1,
Supervised Learning::Instance Based Learning Before::480,,3,3
Supervised Learning::Bayes Rule::480,,1,
Supervised Learning::Bayes Rule p2::481,1,,6
Supervised Learning::Kernel and Gamma::481,1,,2
Supervised Learning::Instance Based Learning Now::481,1,,
Supervised Learning::Gaussian NB Example::481,5,2,3
Supervised Learning::Cost of the House::482,1,,2
Supervised Learning::GaussianNB Deployment on Terrain Data::482,4,4,14
Supervised Learning::Bayes Rule Quiz::482,1,1,3
Supervised Learning::SVM C Parameter::482,1,,
Supervised Learning::Cost of the House Two::483,,,2
Supervised Learning::Calculating NB Accuracy::483,,,2
Supervised Learning::Bayesian Learning::483,,1,2
Supervised Learning::Overfitting::483,,,
Supervised Learning::K NN::484,,2,2
Supervised Learning::Training and Testing Data::484,,2,
Supervised Learning::SVM Strengths and Weaknesses::484,3,,2
Supervised Learning::Bayesian Learning in Action::484,1,1,2
Supervised Learning::Noisy Data::485,1,1,6
Supervised Learning::Wont You Compute My Neighbors::485,,,1
Supervised Learning::Unpacking NB Using Bayes Rule::485,,,
Supervised Learning::Instance Based Learning Before::485,,3,3
Supervised Learning::Instance Based Learning Now::486,1,,
Supervised Learning::Domain K NNowledge::486,1,1,3
Supervised Learning::Return to Bayesian Learning::486,,2,7
Supervised Learning::Bayes Rule::486,,,
Supervised Learning::Best hypothesis::487,1,1,
Supervised Learning::Cancer Test::487,2,1,
Supervised Learning::Cost of the House::487,1,,2
Supervised Learning::K NN Bias::487,,,1
Supervised Learning::Minimum Description Length::488,,,
Supervised Learning::Cost of the House Two::488,,,2
Supervised Learning::Prior and Posterior::488,2,,
Supervised Learning::Curse of Dimensionality::488,9,1,2
Supervised Learning::Normalizing 1::489,,,1
Supervised Learning::Curse of Dimensionality Two::489,4,1,4
Supervised Learning::K NN::489,,2,2
Supervised Learning::Which Tree::489,,,1
Supervised Learning:: Bayesian Classification::490,1,,1
Supervised Learning::Normalizing 2::490,,,
